year,statefip,region4,region9,effort,inc_effort,predicted_fedrevpp0_,predicted_fedrevpp10_,predicted_fedrevpp20_,predicted_fedrevpp30_,fairness_fedrevpp,predicted_strevpp0_,predicted_strevpp10_,predicted_strevpp20_,predicted_strevpp30_,fairness_strevpp,predicted_locrevpp0_,predicted_locrevpp10_,predicted_locrevpp20_,predicted_locrevpp30_,fairness_locrevpp,predicted_slocrev0_,predicted_slocrev10_,predicted_slocrev20_,predicted_slocrev30_,fairness,syst_prog,predicted_curexpp0_,predicted_curexpp10_,predicted_curexpp20_,predicted_curexpp30_,fairness_curexpp,necm_predcost_state,necm_ppcstot_state,necm_enroll_state,necm_outcomegap_state,necm_fundinggap_state,necm_predcost_q1,necm_ppcstot_q1,necm_enroll_q1,necm_outcomegap_q1,necm_fundinggap_q1,necm_predcost_q2,necm_ppcstot_q2,necm_enroll_q2,necm_outcomegap_q2,necm_fundinggap_q2,necm_predcost_q3,necm_ppcstot_q3,necm_enroll_q3,necm_outcomegap_q3,necm_fundinggap_q3,necm_predcost_q4,necm_ppcstot_q4,necm_enroll_q4,necm_outcomegap_q4,necm_fundinggap_q4,necm_predcost_q5,necm_ppcstot_q5,necm_enroll_q5,necm_outcomegap_q5,necm_fundinggap_q5,predicted_tchph0_,predicted_tchph10_,predicted_tchph20_,predicted_tchph30_,fairness_tchph,count,enrolled,lowinc_ec,lowinc_enrolled,ec_enrollshare,ec_lowinc_enrollshare,ec_enrollgapratio,tchsalary25_30,nontchsal25_30,tchsalary31_40,nontchsal31_40,tchsalary41_50,nontchsal41_50,tchsalary51_60,nontchsal51_60,sal_parity25,sal_parity35,sal_parity45,sal_parity55,pred_csd_pov60,pred_csd_pov80,pred_csd_pov100,pred_csd_pov120,pred_csd_pov140,pred_csd_pov160,csd_ratio,pred_css_pov60,pred_css_pov80,pred_css_pov100,pred_css_pov120,pred_css_pov140,pred_css_pov160,css_ratio,pred_salratio_pov60,pred_salratio_pov80,pred_salratio_pov100,pred_salratio_pov120,pred_salratio_pov140,pred_salratio_pov160,sal_ratio,ftotinc_under185pov,ftotinc_over185pov,ftotinc_under130pov,ftotinc_over130pov,inc_gap185_ratio,inc_gap130_ratio,coverage,state_chartershare,inc_pubsch,inc_nonpubsch,pubprv_incratio
2022,1,3,2,0.0369288,0.0390763,1108.649,1668.692,2511.646,3780.424,3.409937,7837.812,8144.613,8463.423,8794.713,1.122088,3765.072,3223.87,2760.462,2363.666,0.6277877,10404.94,10045.5,9698.485,9363.452,0.8999043,-0.1996057,8876.681,9403.772,9962.162,10553.71,1.188925,16906.01,11831.51,722809.0,,-5074.497,11782.73,11332.03,274994.0,,-450.7041,14823.35,11674.38,151490.0,,-3148.968,17739.37,12053.15,145094.0,,-5686.214,22047.96,11628.04,86066.0,,-10419.92,34720.96,14079.86,65165.0,,-20641.1,5.703506,5.511562,5.326077,5.146835,0.9023983,118473.0,54367.0,52041.0,18544.0,0.4588978,0.3563344,0.7765006,24750.66,32974.82,28702.55,38342.7,33571.1,44783.43,37695.48,50572.42,0.7505926,0.7485791,0.7496321,0.7453763,,,,,,,,,,,,,,,,,,,,,,31355.1,131652.5,22033.44,117350.2,0.2381657,0.187758,0.8259602,0.0044474,94260.31,130562.7,0.7219545
2022,2,4,6,0.043423,0.0560364,1776.774,3541.949,7060.779,14075.47,7.921927,11637.8,14331.05,17647.58,21731.62,1.86733,4793.812,2522.422,1327.255,698.379,0.1456834,10154.96,13185.12,17119.45,22227.76,2.188857,0.1317855,10265.98,14616.68,20811.19,29630.92,2.886321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03974,5.980975,5.922781,5.865154,0.9710937,16323.0,6676.0,4481.0,1342.0,0.4089935,0.2994867,0.7322531,30350.46,39720.57,35302.63,45877.14,41656.69,52882.24,46449.44,59732.76,0.7640993,0.7695037,0.7877255,0.7776209,,,,,,,,,,,,,,,,,,,,,,37215.79,144930.5,29949.38,132975.8,0.2567836,0.2252242,0.8219829,0.0649358,109327.7,109224.8,1.000942
2022,4,4,4,0.0246278,0.0267594,1067.853,1859.725,3238.816,5640.58,5.282171,5545.034,5863.938,6201.184,6557.824,1.182648,3463.917,3022.942,2638.107,2302.262,0.6646413,7990.009,8251.329,8521.193,8799.886,1.101361,-0.0494527,6710.151,7724.361,8891.865,10235.83,1.525425,12365.54,10231.73,896996.0,,-2133.812,9775.723,9405.441,403276.0,,-370.2813,12680.65,10103.74,203911.0,,-2576.909,14594.62,11050.02,161579.0,,-3544.592,16474.12,11344.65,96769.0,,-5129.472,19434.66,14027.03,31461.0,,-5407.637,5.48718,5.611217,5.738056,5.867763,1.069359,167305.0,55700.0,61296.0,16845.0,0.3329249,0.274814,0.8254535,27428.26,39257.37,31205.01,44648.05,35538.94,50841.27,39161.86,56275.32,0.698678,0.698911,0.6990176,0.6958976,,,,,,,,,,,,,,,,,,,,,,37380.09,155276.1,26629.32,139645.2,0.2407331,0.1906927,0.8816897,0.3513993,118109.9,137257.1,0.8605013
2022,5,3,8,0.0383936,0.0376907,1381.248,2004.317,2908.446,4220.419,3.055511,10345.45,10394.24,10443.26,10492.52,1.014216,1036.022,1082.786,1131.661,1182.742,1.141618,8438.812,8809.547,9196.57,9600.596,1.137672,0.3061197,8184.351,9113.041,10147.11,11298.52,1.380502,15963.61,11855.17,459418.0,,-4108.45,12284.71,11123.93,183059.0,,-1160.779,13854.39,11464.83,81930.0,,-2389.558,15606.98,11768.24,58571.0,,-3838.741,19455.62,13039.59,64495.0,,-6416.023,24958.99,13179.95,71363.0,,-11779.04,6.867286,7.348712,7.863888,8.41518,1.225401,72542.0,32898.0,36401.0,14430.0,0.4535028,0.3964177,0.874124,27376.15,35270.62,31073.42,40236.86,35649.53,45659.37,39196.07,50684.45,0.7761744,0.7722626,0.7807715,0.7733354,,,,,,,,,,,,,,,,,,,,,,32806.76,127862.6,23495.69,113854.2,0.2565782,0.2063664,0.8592024,0.0975896,90338.76,102996.4,0.8771059
2022,6,4,6,0.0307215,0.036699,1214.363,2042.963,3436.945,5782.086,4.761416,6975.142,10234.71,15017.53,22035.41,3.159134,5648.001,3862.948,2642.061,1807.036,0.3199426,11609.57,12590.01,13653.25,14806.28,1.275351,0.2700574,10502.9,11891.32,13463.28,15243.04,1.451316,16534.45,16303.22,5188806.0,,-231.23,11139.06,15143.75,977565.0,,4004.692,13751.07,14973.59,1113329.0,,1222.513,16816.53,15931.2,1079476.0,,-885.3301,19959.95,18143.59,1519311.0,,-1816.355,22273.07,16742.57,499125.0,,-5530.504,4.560393,4.649599,4.740549,4.833278,1.059838,887780.0,407870.0,272065.0,97786.0,0.4594269,0.3594215,0.7823257,36414.9,47713.71,42350.07,55228.44,49050.59,64034.03,54863.79,72052.91,0.7631956,0.7668164,0.7660081,0.7614375,,,,,,,,,,,,,,,,,,,,,,36395.21,184344.8,25918.38,166658.3,0.1974301,0.1555181,0.8823506,0.1530305,141409.5,225058.4,0.6283239
2022,8,4,4,0.0285654,0.0314493,872.7088,1584.716,2877.621,5225.353,5.98751,6564.135,7302.635,8124.219,9038.236,1.376912,4125.548,4100.055,4074.719,4049.539,0.981576,10270.19,11227.06,12273.09,13416.57,1.306361,0.3107049,9344.606,10427.76,11636.46,12985.27,1.389601,12531.42,13297.92,856067.0,,766.4996,10097.77,12788.7,429433.0,,2690.927,11080.41,12631.66,147954.0,,1551.243,16758.78,14515.76,167257.0,,-2243.021,16957.46,14241.52,90220.0,,-2715.948,19765.96,14638.56,21203.0,,-5127.404,5.86348,6.220539,6.59934,7.001209,1.194036,123884.0,64252.0,30944.0,11755.0,0.5186465,0.3798798,0.7324445,26088.99,40278.72,30074.38,46234.37,34638.04,53356.56,38488.89,59844.68,0.6477116,0.6504767,0.6491805,0.6431464,,,,,,,,,,,,,,,,,,,,,,34815.16,180710.6,23115.35,169551.3,0.192657,0.1363325,0.8718655,0.1578074,153223.2,191002.7,0.8022047
2022,9,1,5,0.0363773,0.0376545,1034.815,1823.98,3214.974,5666.762,5.476112,5812.804,9202.574,14569.12,23065.19,3.967998,14004.34,8521.986,5185.838,3155.711,0.2253381,19559.66,18352.25,17219.36,16156.41,0.8260064,-0.2177366,18790.63,18377.27,17973.0,17577.62,0.9354457,13571.49,23502.04,468926.0,,9930.547,8671.842,24138.97,89831.0,,15467.13,9253.91,24037.72,70263.0,,14783.81,9717.486,23843.3,55297.0,,14125.82,11791.59,23918.77,43344.0,,12127.17,18489.74,22875.05,210191.0,,4385.313,8.58556,8.319161,8.061028,7.810905,0.9097723,69875.0,44447.0,15643.0,8162.0,0.636093,0.5217669,0.8202682,34205.14,41828.67,40196.32,48988.45,47146.11,57302.46,52581.64,64799.84,0.8177438,0.8205265,0.8227588,0.811447,,,,,,,,,,,,,,,,,,,,,,31309.79,215988.2,22768.36,203557.6,0.1449606,0.1118521,0.8837133,0.0238707,181087.5,307426.4,0.5890433
2022,10,3,7,0.0295884,0.0417237,1573.637,2505.769,3990.04,6353.509,4.037467,11813.35,12933.94,14160.83,15504.1,1.312422,3287.447,3663.472,4082.505,4549.471,1.383892,11706.89,13521.13,15616.53,18036.66,1.540688,0.5091479,11396.55,14557.55,18595.29,23752.98,2.084225,15925.11,19316.56,115548.0,,3391.451,11863.94,16591.37,24578.0,,4727.431,15059.72,19798.58,33439.0,,4738.858,14842.45,14396.31,9285.0,,-446.1357,18324.81,21902.1,33579.0,,3577.287,19894.94,19979.66,14667.0,,84.72266,6.689734,7.239874,7.835255,8.479598,1.267554,24237.0,10934.0,6147.0,1778.0,0.4511285,0.2892468,0.6411628,30662.54,38812.94,35139.82,44880.46,41590.21,52184.18,46010.29,58678.18,0.7900082,0.7829649,0.796989,0.7841125,,,,,,,,,,,,,,,,,,,,,,35814.93,156941.8,25208.81,145279.7,0.2282051,0.1735192,0.8601971,0.1511483,130153.2,149282.0,0.871861
2022,11,3,7,0.0225555,0.0551724,,,,,,,,,,,,,,,,,,,,,,,,,,,24053.67,27424.98,48635.0,,3371.31,,,,,,,,,,,,,,,,,,,,,24053.67,27424.98,48635.0,,3371.311,,,,,,15777.0,12372.0,3973.0,2206.0,0.7841795,0.5552479,0.7080622,33678.55,43397.04,40740.42,53839.34,52024.27,66365.2,60836.99,78791.87,0.7760563,0.7567034,0.783909,0.7721227,,,,,,,,,,,,,,,,,,,,,,27251.9,252618.8,19685.31,239824.8,0.1078776,0.082082,0.7648254,0.7662271,202162.3,372437.9,0.542808
2022,12,3,7,0.0257014,0.0255628,1467.956,2057.146,2882.82,4039.891,2.752052,4022.998,4577.736,5208.968,5927.241,1.473339,5391.291,4332.403,3481.489,2797.7,0.5189297,9523.464,8976.896,8461.696,7976.065,0.8375172,-0.1436999,7876.849,8622.31,9438.319,10331.56,1.311636,13826.47,11075.87,2805486.0,,-2750.6,10991.46,10200.23,551824.0,,-791.2236,13546.04,11147.99,1005286.0,,-2398.048,15293.05,11477.25,972102.0,,-3815.792,14998.79,11294.78,207217.0,,-3704.009,16400.33,10715.8,69057.0,,-5684.534,6.487957,6.049578,5.640819,5.259679,0.8106834,470868.0,232561.0,174828.0,70216.0,0.4938985,0.401629,0.8131813,28544.53,37477.42,32390.48,42521.57,36570.58,48210.07,40436.65,53331.64,0.7616462,0.7617422,0.7585672,0.7582114,,,,,,,,,,,,,,,,,,,,,,34280.38,148863.5,23944.42,133875.0,0.2302806,0.1788566,0.8235133,0.1284602,113978.1,161580.6,0.7053952
